Pclass,Fare,Age,SibSp,Parch,Survived
3.0,7.0542,17.0,1.0,0.0,0.0
2.0,13.0,34.0,0.0,0.0,0.0
2.0,13.0,50.0,0.0,0.0,0.0
1.0,53.1,27.0,1.0,0.0,1.0
3.0,8.6625,20.0,0.0,0.0,0.0
2.0,21.0,30.0,3.0,0.0,1.0
2.0,26.0,25.0,1.0,0.0,0.0
3.0,7.925,25.0,1.0,0.0,0.0
1.0,211.3375,29.0,0.0,0.0,1.0
3.0,18.7875,11.0,0.0,0.0,0.0
2.0,13.0,23.0,0.0,0.0,0.0
2.0,13.0,23.0,0.0,0.0,0.0
3.0,16.1,28.5,0.0,0.0,0.0
3.0,34.375,48.0,1.0,3.0,0.0
1.0,512.3292,35.0,0.0,0.0,1.0
1.0,78.85,36.0,1.0,0.0,0.0
1.0,262.375,21.0,2.0,2.0,1.0
3.0,16.1,24.0,1.0,0.0,0.0
3.0,7.925,31.0,0.0,0.0,1.0
1.0,71.0,70.0,1.0,1.0,0.0
3.0,20.25,16.0,1.0,1.0,0.0
2.0,13.0,30.0,0.0,0.0,1.0
1.0,53.1,19.0,1.0,0.0,0.0
3.0,7.75,31.0,0.0,0.0,0.0
2.0,23.0,4.0,1.0,1.0,1.0
3.0,12.475,6.0,0.0,1.0,1.0
3.0,9.5,33.0,0.0,0.0,0.0
3.0,7.8958,23.0,0.0,0.0,0.0
2.0,65.0,48.0,1.0,2.0,1.0
2.0,14.5,0.67,1.0,1.0,1.0
3.0,7.7958,28.0,0.0,0.0,0.0
2.0,11.5,18.0,0.0,0.0,0.0
3.0,8.05,34.0,0.0,0.0,0.0
1.0,86.5,33.0,0.0,0.0,1.0
3.0,7.125,41.0,0.0,0.0,0.0
3.0,7.2292,20.0,0.0,0.0,1.0
1.0,120.0,36.0,1.0,2.0,1.0
3.0,7.775,16.0,0.0,0.0,0.0
1.0,77.9583,51.0,1.0,0.0,1.0
3.0,7.75,30.5,0.0,0.0,0.0
3.0,8.3625,32.0,0.0,0.0,0.0
3.0,9.5,24.0,0.0,0.0,0.0
3.0,7.8542,48.0,0.0,0.0,0.0
2.0,10.5,57.0,0.0,0.0,0.0
2.0,23.0,54.0,1.0,3.0,1.0
3.0,7.75,18.0,0.0,0.0,0.0
3.0,12.475,5.0,0.0,0.0,1.0
1.0,211.3375,43.0,0.0,1.0,1.0
3.0,7.2292,13.0,0.0,0.0,1.0
1.0,57.0,17.0,1.0,0.0,1.0
1.0,30.0,29.0,0.0,0.0,0.0
3.0,7.05,25.0,0.0,0.0,0.0
3.0,7.25,25.0,0.0,0.0,0.0
3.0,7.4958,18.0,0.0,0.0,1.0
3.0,29.125,8.0,4.0,1.0,0.0
3.0,20.575,1.0,1.0,2.0,1.0
1.0,79.2,46.0,0.0,0.0,0.0
2.0,26.0,16.0,0.0,0.0,0.0
3.0,7.8958,25.0,0.0,0.0,0.0
2.0,13.0,39.0,0.0,0.0,0.0
1.0,25.9292,49.0,0.0,0.0,1.0
3.0,8.6833,31.0,0.0,0.0,1.0
3.0,7.2292,30.0,0.0,0.0,0.0
3.0,24.15,30.0,1.0,1.0,0.0
2.0,13.0,34.0,0.0,0.0,0.0
2.0,26.25,31.0,1.0,1.0,1.0
1.0,120.0,11.0,1.0,2.0,1.0
3.0,8.5167,0.42,0.0,1.0,1.0
3.0,6.975,27.0,0.0,0.0,1.0
3.0,7.775,31.0,0.0,0.0,0.0
1.0,0.0,39.0,0.0,0.0,0.0
3.0,7.775,18.0,0.0,0.0,0.0
2.0,13.0,39.0,0.0,0.0,0.0
1.0,53.1,33.0,1.0,0.0,1.0
3.0,7.8875,26.0,0.0,0.0,0.0
3.0,24.15,39.0,0.0,0.0,0.0
2.0,10.5,35.0,0.0,0.0,0.0
3.0,31.275,6.0,4.0,2.0,0.0
3.0,8.05,30.5,0.0,0.0,0.0
3.0,7.925,23.0,0.0,0.0,0.0
2.0,37.0042,31.0,1.0,1.0,0.0
3.0,6.45,43.0,0.0,0.0,0.0
3.0,27.9,10.0,3.0,2.0,0.0
1.0,93.5,52.0,1.0,1.0,1.0
3.0,8.6625,27.0,0.0,0.0,1.0
1.0,0.0,38.0,0.0,0.0,0.0
3.0,12.475,27.0,0.0,1.0,1.0
3.0,39.6875,2.0,4.0,1.0,0.0
2.0,37.0042,1.0,0.0,2.0,1.0
1.0,80.0,62.0,0.0,0.0,1.0
3.0,14.4542,15.0,1.0,0.0,1.0
2.0,18.75,0.83,1.0,1.0,1.0
3.0,7.8542,23.0,0.0,0.0,0.0
3.0,8.3,18.0,0.0,0.0,0.0
1.0,83.1583,39.0,1.0,1.0,1.0
3.0,8.6625,21.0,0.0,0.0,0.0
3.0,56.4958,32.0,0.0,0.0,1.0
3.0,7.925,20.0,0.0,0.0,0.0
2.0,10.5,16.0,0.0,0.0,0.0
1.0,31.0,30.0,0.0,0.0,1.0
3.0,6.4375,34.5,0.0,0.0,0.0
3.0,8.6625,17.0,0.0,0.0,0.0
3.0,7.55,42.0,0.0,0.0,0.0
3.0,7.8958,35.0,0.0,0.0,0.0
2.0,33.0,28.0,0.0,1.0,0.0
3.0,31.275,4.0,4.0,2.0,0.0
3.0,7.775,74.0,0.0,0.0,0.0
3.0,15.2458,9.0,1.0,1.0,0.0
1.0,39.4,16.0,0.0,1.0,1.0
2.0,26.0,44.0,1.0,0.0,0.0
3.0,9.35,18.0,0.0,1.0,1.0
1.0,164.8667,45.0,1.0,1.0,1.0
1.0,26.55,51.0,0.0,0.0,1.0
3.0,19.2583,24.0,0.0,3.0,1.0
3.0,14.1083,41.0,2.0,0.0,0.0
2.0,11.5,21.0,1.0,0.0,0.0
1.0,25.9292,48.0,0.0,0.0,1.0
2.0,13.0,24.0,0.0,0.0,0.0
2.0,13.0,42.0,0.0,0.0,1.0
2.0,13.8583,27.0,1.0,0.0,1.0
1.0,50.4958,31.0,0.0,0.0,0.0
3.0,11.1333,4.0,1.0,1.0,1.0
3.0,7.8958,26.0,0.0,0.0,0.0
1.0,52.5542,47.0,1.0,1.0,1.0
1.0,5.0,33.0,0.0,0.0,0.0
3.0,9.0,47.0,0.0,0.0,0.0
2.0,24.0,28.0,1.0,0.0,1.0
3.0,7.225,15.0,0.0,0.0,1.0
3.0,9.8458,20.0,0.0,0.0,0.0
3.0,7.8958,19.0,0.0,0.0,0.0
1.0,83.1583,56.0,0.0,1.0,1.0
2.0,26.0,25.0,0.0,1.0,1.0
3.0,7.8958,33.0,0.0,0.0,0.0
3.0,10.5167,22.0,0.0,0.0,0.0
2.0,10.5,28.0,0.0,0.0,0.0
3.0,7.05,25.0,0.0,0.0,0.0
3.0,29.125,39.0,0.0,5.0,0.0
2.0,13.0,27.0,0.0,0.0,0.0
1.0,30.0,19.0,0.0,0.0,1.0
1.0,30.0,26.0,0.0,0.0,1.0
3.0,7.75,32.0,0.0,0.0,0.0
